Nr,Dr,Vorname,Nachname,PLZ,Land,Link,Fernberatung,Fachrichtung
103,nein,Sebastian,Weber,82110,DE,www.weber-heilpraktiker-germering.de,nein,Heilpraktiker (HP)
104,ja,Reinhard,Schiller,84144,DE,www.dr-schiller.de,nein,
105,ja,Michael,Bommer,85354,DE,www.drbommer.de,nein,
106,ja,Petra,Gerheuser,86150,DE,www.tcm-praxis-gerheuser.de,nein,TCM
107,ja,,Blehe und Team,86153,DE,www.alviasana.com,nein,Team/Praxis
108,ja,Renate,Weber,86163,DE,weremed.de,nein,
109,ja,Werner,Bader,88339,DE,www.praxis-dr-bader.de,ja,
110,ja,Christina,Lang,89081,DE,www.aerzte.de,ja,
111,ja,Carina,Petrasek,90469,DE,individuellegesundheit.de,nein,
112,ja,Stefan,Springer,93049,DE,praxis-springer.de,nein,
113,nein,,Spezialklinik Neukirchen,93453,DE,www.spezialklinik-neukirchen.de,nein,Spezialklinik
114,ja,Martin,Schnitze,94315,DE,www.alternatives-kopfschmerzzentrum.de,nein,Kopfschmerz (Zentrum)
115,nein,Thomas,Gries,96047,DE,www.heilpraxis-gries.de,nein,Heilpraktiker (HP)
