Oberbegriff	ID_Oberbegriff	konkretes_Treatment	ID_konkret	Strukturebene	Typ_konkret	Unterkategorie_konkret	Begründung	geplante_Aliasrichtung
Stressdiagnostik	368	Cortisol-Tagesprofil im Speichel	204	1 – Oberbegriff → Verfahren/Test	Diagnostik	Labordiagnostik	konkretes Verfahren zur Erfassung der HPA-Achse oder autonomer Stressregulation	Stressdiagnostik → Cortisol-Tagesprofil im Speichel
Stressdiagnostik	368	Herzfrequenzvariabilitätsmessung (HRV)	253	1 – Oberbegriff → Verfahren/Test	Diagnostik	Funktionsdiagnostik	konkretes Verfahren zur Erfassung der HPA-Achse oder autonomer Stressregulation	Stressdiagnostik → Herzfrequenzvariabilitätsmessung (HRV)
Infusionstherapie	274	Chelattherapie	200	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Chelattherapie
Infusionstherapie	274	Cholininfusion	202	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Cholininfusion
Infusionstherapie	274	Eumetabol-Infusionstherapie	232	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Eumetabol-Infusionstherapie
Infusionstherapie	274	Individuelles Infusionskonzept	272	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Individuelles Infusionskonzept
Infusionstherapie	274	Intravenöse Immunglobuline (IVIG)	411	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Intravenöse Immunglobuline (IVIG)
Infusionstherapie	274	Kochsalzinfusion	7	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Kochsalzinfusion
Infusionstherapie	274	NAD⁺-Infusion	64	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → NAD⁺-Infusion
Infusionstherapie	274	Nährstoffinfusionen	333	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Nährstoffinfusionen
Infusionstherapie	274	Procain-Basen-Infusion	351	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Procain-Basen-Infusion
Infusionstherapie	274	Spezielle Aufbauinfusionskonzepte	366	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Spezielle Aufbauinfusionskonzepte
Infusionstherapie	274	Vitamin C (intravenös)	117	1 – Oberbegriff → konkrete Infusion/Infusionskonzept	Infusionen		Treatment ist ausdrücklich als Infusion oder Infusionskonzept geführt	Infusionstherapie → Vitamin C (intravenös)
Nährstoffinfusionen	333	Cholininfusion	202	2 – Untergruppe → konkrete Infusion	Infusionen		intravenöse Gabe eines Nährstoffs, Vitamins oder metabolisch eingesetzten Cofaktors	Nährstoffinfusionen → Cholininfusion
Nährstoffinfusionen	333	NAD⁺-Infusion	64	2 – Untergruppe → konkrete Infusion	Infusionen		intravenöse Gabe eines Nährstoffs, Vitamins oder metabolisch eingesetzten Cofaktors	Nährstoffinfusionen → NAD⁺-Infusion
